Start Time,End Time,Elapsed Time (seconds)
2024-12-11 17:04:04,2024-12-11 17:04:17,13
2024-12-11 17:06:26,2024-12-11 17:06:58,32
2024-12-11 17:07:44,2024-12-11 17:07:58,14
2024-12-11 17:14:07,2024-12-11 17:14:19,12
2024-12-11 17:14:52,2024-12-11 17:15:03,11
2024-12-11 17:15:58,2024-12-11 17:16:10,12
2024-12-11 17:16:39,2024-12-11 17:16:40,1
2024-12-11 17:16:56,2024-12-11 17:17:06,10
2024-12-11 17:17:40,2024-12-11 17:17:52,12
2024-12-11 17:18:37,2024-12-11 17:18:48,11
2024-12-11 17:19:45,2024-12-11 17:19:46,1
2024-12-11 17:19:53,2024-12-11 17:20:04,11
2024-12-11 17:20:50,2024-12-11 17:20:59,9
