Start Time,End Time,Elapsed Time (seconds)
2024-12-10 05:02:45,2024-12-10 05:02:45,0
2024-12-10 05:05:37,2024-12-10 05:05:47,10
2024-12-10 05:06:06,2024-12-10 05:06:17,11
2024-12-10 22:04:25,2024-12-10 22:04:34,9
2024-12-10 22:11:21,2024-12-10 22:11:31,10
2024-12-10 22:12:21,2024-12-10 22:12:31,10
2024-12-10 22:13:37,2024-12-10 22:13:47,10
2024-12-10 22:14:40,2024-12-10 22:14:50,10
2024-12-10 22:15:33,2024-12-10 22:15:42,9
2024-12-10 22:16:28,2024-12-10 22:16:37,9
2024-12-10 22:17:17,2024-12-10 22:17:25,8
