Chunk Size (MB),Run,Start Time,End Time,Duration (seconds)
512,1,1736146955.197129338,1736147138.858310386,183.661181048
512,2,1736147138.861673986,1736147325.093360162,186.231686176
512,3,1736147325.096640155,1736147511.357297791,186.260657636
512,4,1736147511.360670757,1736147699.485161115,188.124490358
512,5,1736147699.488652104,1736147884.940274125,185.451622021
512,6,1736147884.943955222,1736148069.259341871,184.315386649
512,7,1736148069.262038266,1736148253.046764331,183.784726065
512,8,1736148253.051576662,1736148437.234880284,184.183303622
512,9,1736148437.238417159,1736148620.665773694,183.427356535
512,10,1736148620.669188058,1736148804.552474546,183.883286488
