File Name,Chunk Size (MB),Number of Chunks,Run Time (Seconds)
,1M, Num_Chunks:4096,14.5113
,1M, Num_Chunks:4096,13.4229
,1M, Num_Chunks:4096,12.3686
,1M, Num_Chunks:4096,12.4541
,1M, Num_Chunks:4096,12.2599
,1M, Num_Chunks:4096,12.3464
,1M, Num_Chunks:4096,12.2110
,1M, Num_Chunks:4096,11.8315
,1M, Num_Chunks:4096,12.0266
,1M, Num_Chunks:4096,12.2430
,2M, Num_Chunks:2048,11.0581
,2M, Num_Chunks:2048,11.4407
,2M, Num_Chunks:2048,12.1486
,2M, Num_Chunks:2048,10.9339
,2M, Num_Chunks:2048,11.5594
,2M, Num_Chunks:2048,10.8669
,2M, Num_Chunks:2048,11.2030
,2M, Num_Chunks:2048,11.9919
,2M, Num_Chunks:2048,11.6292
,2M, Num_Chunks:2048,11.2814
,3M, Num_Chunks:1365,11.6199
,3M, Num_Chunks:1365,11.3260
,3M, Num_Chunks:1365,11.4204
,3M, Num_Chunks:1365,11.2497
,3M, Num_Chunks:1365,11.2915
,3M, Num_Chunks:1365,11.4382
,3M, Num_Chunks:1365,11.0501
,3M, Num_Chunks:1365,11.2068
,3M, Num_Chunks:1365,11.2723
,3M, Num_Chunks:1365,11.1307
,4M, Num_Chunks:1024,11.1664
,4M, Num_Chunks:1024,10.9379
,4M, Num_Chunks:1024,11.1018
,4M, Num_Chunks:1024,10.9828
,4M, Num_Chunks:1024,11.2860
,4M, Num_Chunks:1024,11.9010
,4M, Num_Chunks:1024,11.7560
,4M, Num_Chunks:1024,11.4265
,4M, Num_Chunks:1024,11.5480
,4M, Num_Chunks:1024,11.9761
,5M, Num_Chunks:819,11.3959
,5M, Num_Chunks:819,11.2967
,5M, Num_Chunks:819,11.4226
,5M, Num_Chunks:819,10.5504
,5M, Num_Chunks:819,11.4952
,5M, Num_Chunks:819,11.2217
,5M, Num_Chunks:819,11.7095
,5M, Num_Chunks:819,12.7846
,5M, Num_Chunks:819,11.9946
,5M, Num_Chunks:819,11.6448
,6M, Num_Chunks:682,11.8620
,6M, Num_Chunks:682,12.0180
,6M, Num_Chunks:682,11.4297
,6M, Num_Chunks:682,11.9515
,6M, Num_Chunks:682,12.0357
,6M, Num_Chunks:682,11.9697
,6M, Num_Chunks:682,11.4431
,6M, Num_Chunks:682,11.5757
,6M, Num_Chunks:682,11.7483
,6M, Num_Chunks:682,11.8709
,7M, Num_Chunks:585,11.6023
,7M, Num_Chunks:585,12.0296
,7M, Num_Chunks:585,12.4826
,7M, Num_Chunks:585,11.7042
,7M, Num_Chunks:585,11.9665
,7M, Num_Chunks:585,12.7303
,7M, Num_Chunks:585,11.6732
,7M, Num_Chunks:585,11.7867
,7M, Num_Chunks:585,12.1434
,7M, Num_Chunks:585,11.5115
,8M, Num_Chunks:512,12.0507
,8M, Num_Chunks:512,12.0992
,8M, Num_Chunks:512,12.3969
,8M, Num_Chunks:512,11.9123
,8M, Num_Chunks:512,11.8901
,8M, Num_Chunks:512,12.9451
,8M, Num_Chunks:512,12.2639
,8M, Num_Chunks:512,12.0749
,8M, Num_Chunks:512,12.3718
,8M, Num_Chunks:512,11.9501
,9M, Num_Chunks:455,12.2319
,9M, Num_Chunks:455,11.9258
,9M, Num_Chunks:455,11.8293
,9M, Num_Chunks:455,14.3677
,9M, Num_Chunks:455,11.7753
,9M, Num_Chunks:455,11.9394
,9M, Num_Chunks:455,12.0577
,9M, Num_Chunks:455,13.0552
,9M, Num_Chunks:455,12.0321
,9M, Num_Chunks:455,12.0336
,10M, Num_Chunks:409,11.7293
,10M, Num_Chunks:409,12.6904
,10M, Num_Chunks:409,11.8842
,10M, Num_Chunks:409,12.7399
,10M, Num_Chunks:409,11.8507
,10M, Num_Chunks:409,12.5043
,10M, Num_Chunks:409,11.9105
,10M, Num_Chunks:409,13.0753
,10M, Num_Chunks:409,11.5483
,10M, Num_Chunks:409,13.2536
,11M, Num_Chunks:372,12.7337
,11M, Num_Chunks:372,12.0094
,11M, Num_Chunks:372,12.0875
,11M, Num_Chunks:372,12.4245
,11M, Num_Chunks:372,12.8635
,11M, Num_Chunks:372,12.8434
,11M, Num_Chunks:372,12.6301
,11M, Num_Chunks:372,12.2242
,11M, Num_Chunks:372,13.0884
,11M, Num_Chunks:372,12.2464
,12M, Num_Chunks:341,12.3152
,12M, Num_Chunks:341,12.9021
,12M, Num_Chunks:341,12.2564
,12M, Num_Chunks:341,12.6814
,12M, Num_Chunks:341,12.0266
,12M, Num_Chunks:341,12.3094
,12M, Num_Chunks:341,12.9646
,12M, Num_Chunks:341,12.2201
,12M, Num_Chunks:341,12.2897
,12M, Num_Chunks:341,12.2213
,13M, Num_Chunks:315,12.3414
,13M, Num_Chunks:315,12.5519
,13M, Num_Chunks:315,12.0431
,13M, Num_Chunks:315,13.0424
,13M, Num_Chunks:315,12.9219
,13M, Num_Chunks:315,13.5497
,13M, Num_Chunks:315,12.8981
,13M, Num_Chunks:315,12.2621
,13M, Num_Chunks:315,12.4814
,13M, Num_Chunks:315,12.1660
,14M, Num_Chunks:292,12.3273
,14M, Num_Chunks:292,13.4263
,14M, Num_Chunks:292,12.3654
,14M, Num_Chunks:292,12.3491
,14M, Num_Chunks:292,12.6212
,14M, Num_Chunks:292,13.5964
,14M, Num_Chunks:292,12.9368
,14M, Num_Chunks:292,12.4840
,14M, Num_Chunks:292,12.7274
,14M, Num_Chunks:292,12.7784
,15M, Num_Chunks:273,12.7816
,15M, Num_Chunks:273,12.8251
,15M, Num_Chunks:273,13.2167
,15M, Num_Chunks:273,12.3091
,15M, Num_Chunks:273,12.5149
,15M, Num_Chunks:273,13.8673
,15M, Num_Chunks:273,13.2890
,15M, Num_Chunks:273,13.9611
,15M, Num_Chunks:273,12.3342
,15M, Num_Chunks:273,13.1285
,16M, Num_Chunks:256,12.5381
