File Name,Chunk Size (MB),Number of Chunks,Run Time (Seconds)
,454M, Num_Chunks:9,2670.9514
,454M, Num_Chunks:9,24.4844
,454M, Num_Chunks:9,20.3026
,428M, Num_Chunks:9,167.6900
,454M, Num_Chunks:9,26.1729
,428M, Num_Chunks:9,25.2073
,454M, Num_Chunks:9,26.6465
,428M, Num_Chunks:9,26.5209
,454M, Num_Chunks:9,34.7817
,428M, Num_Chunks:9,39.1004
,454M, Num_Chunks:9,28.1281
,428M, Num_Chunks:9,25.1612
,428M, Num_Chunks:9,25.6017
,455M, Num_Chunks:9,33.7943
,455M, Num_Chunks:9,24.8961
,428M, Num_Chunks:9,31.7961
,428M, Num_Chunks:9,23.6477
,455M, Num_Chunks:9,38.3846
,428M, Num_Chunks:9,33.8235
,455M, Num_Chunks:9,32.8925
,428M, Num_Chunks:9,32.1085
,455M, Num_Chunks:9,25.1917
,455M, Num_Chunks:9,26.2009
,429M, Num_Chunks:9,33.5419
,429M, Num_Chunks:9,23.2548
,455M, Num_Chunks:9,39.5890
,455M, Num_Chunks:9,27.9415
,429M, Num_Chunks:9,36.9589
,455M, Num_Chunks:9,27.0440
,429M, Num_Chunks:9,32.8050
,429M, Num_Chunks:9,21.3015
,455M, Num_Chunks:9,33.0032
,429M, Num_Chunks:9,29.9756
,456M, Num_Chunks:8,24.0640
,429M, Num_Chunks:9,27.7049
,456M, Num_Chunks:8,33.8093
,429M, Num_Chunks:9,25.0807
,456M, Num_Chunks:8,27.1013
,429M, Num_Chunks:9,23.7071
,456M, Num_Chunks:8,29.1962
,429M, Num_Chunks:9,24.0439
,456M, Num_Chunks:8,32.8130
,430M, Num_Chunks:9,22.4173
,430M, Num_Chunks:9,30.0400
,456M, Num_Chunks:8,44.9778
,430M, Num_Chunks:9,28.7613
,456M, Num_Chunks:8,23.9109
,430M, Num_Chunks:9,30.4817
,456M, Num_Chunks:8,26.2286
,430M, Num_Chunks:9,24.0251
,456M, Num_Chunks:8,28.0526
,430M, Num_Chunks:9,27.4381
,456M, Num_Chunks:8,30.6387
,430M, Num_Chunks:9,26.2943
,457M, Num_Chunks:8,35.1695
,430M, Num_Chunks:9,30.0618
,430M, Num_Chunks:9,23.2046
,457M, Num_Chunks:8,37.4537
,430M, Num_Chunks:9,27.4814
,457M, Num_Chunks:8,23.6282
,457M, Num_Chunks:8,26.2582
,431M, Num_Chunks:9,35.1481
,431M, Num_Chunks:9,25.6208
,457M, Num_Chunks:8,39.2289
,431M, Num_Chunks:9,31.1041
,457M, Num_Chunks:8,41.1179
,431M, Num_Chunks:9,23.6457
,457M, Num_Chunks:8,24.7468
,431M, Num_Chunks:9,24.5042
,431M, Num_Chunks:9,27.1058
,457M, Num_Chunks:8,33.5792
,431M, Num_Chunks:9,27.1791
,457M, Num_Chunks:8,33.2480
,457M, Num_Chunks:8,27.2715
,431M, Num_Chunks:9,33.4042
,458M, Num_Chunks:8,33.2513
,431M, Num_Chunks:9,39.0002
,458M, Num_Chunks:8,26.4937
,431M, Num_Chunks:9,26.6941
,458M, Num_Chunks:8,31.3940
,432M, Num_Chunks:9,25.4390
,458M, Num_Chunks:8,25.5473
,432M, Num_Chunks:9,32.1313
,432M, Num_Chunks:9,22.5185
,458M, Num_Chunks:8,29.1437
,432M, Num_Chunks:9,27.7040
,458M, Num_Chunks:8,39.2787
,432M, Num_Chunks:9,39.2572
